id,Case Number,Date,Year,Type,Country,Area,Location,Fatal,original_order,Latitude,Longitude
3141,2013.11.12,12--Nov--13,2013,Unprovoked,AUSTRALIA,Western Australia,"Trigg Beach, Perth",N,5703,-31.8773458,115.7515832504
3142,2013.10.28,28--Oct--13,2013,Unprovoked,AUSTRALIA,Western Australia,Turquoise Bay,N,5698,-22.0987234,113.8875011
3143,2013.10.26.a,26--Oct--13,2013,Unprovoked,AUSTRALIA,Western Australia,"Little Island, near Hillarys",N,5696,-31.94967961,115.86193337
3144,2013.10.24,24--Oct--13,2013,Unprovoked,AUSTRALIA,New South Wales,South Narrabeen Beach,N,5695,-28.15740315,153.48001418
3145,2013.10.08,08--Oct--13,2013,Unprovoked,AUSTRALIA,Western Australia,"Off Poison Creek, Cape Arid",N,5690,-31.94967961,115.86193337
3146,2013.08.25, 25--Aug--2013,2013,Unprovoked,AUSTRALIA,New South Wales,Smiths,N,5668,-33.6379018,151.2060723
3147,2013.07.02,02--Jul--13,2013,Unprovoked,AUSTRALIA,Victoria,"Flinders, Mornington Penisula",N,5646,-38.23708234,145.04984624
3148,2013.06.06.a,06--Jun--13,2013,Unprovoked,AUSTRALIA,New South Wales,Target Beach,N,5634,-35.0715746,150.7828872948
3149,2013.04.28,28--Apr--13,2013,Provoked,AUSTRALIA,New South Wales,Emerald Beach,N,5625,-30.1694411,153.1880565
3150,2013.04.21,21--Apr--13,2013,Unprovoked,AUSTRALIA,New South Wales,Crowdy Head,N,5623,-31.84016,152.7511891
3151,2013.04.02.R,Reported 02--Apr--2013,2013,Invalid,AUSTRALIA,Western Australia,Perth,NULL,5616,-31.9527121,115.8604796
3152,2013.03.31,31--Mar--13,2013,Invalid,AUSTRALIA,New South Wales,Terrigal Beach,NULL,5614,-28.15740315,153.48001418
3153,2013.03.10.b,10--Mar--13,2013,Unprovoked,AUSTRALIA,Western Australia,African Reef off Geraldton,N,5607,-31.94967961,115.86193337
3154,2013.01.26,26--Jan--13,2013,Boat,AUSTRALIA,Victoria,Cape Nelson,N,5598,-38.3682503,141.5941498
3155,2013.01.25,25--Jan--13,2013,Unprovoked,AUSTRALIA,Queensland,Noosa,N,5597,-27.4673606,153.0254459
3156,2013.01.21.R,Reported 21--Jan--2013,2013,Invalid,AUSTRALIA,Queensland,Bullcock Beach,NULL,5596,-26.80754022,153.13334057
3157,2013.01.05,05--Jan--13,2013,Unprovoked,AUSTRALIA,Western Australia,Near Legendre Island,N,5593,-20.3861041,116.8762594966
3158,2012.12.30,30--Dec--12,2012,Unprovoked,AUSTRALIA,New South Wales,Between Dee Why and Long Reef,N,5591,-33.74139075,151.30928083
3159,2012.12.28,28--Dec--12,2012,Unprovoked,AUSTRALIA,New South Wales,"Kylie's Beach, Diamond Head",N,5590,-31.73916205,152.7911642198
3160,2012.12.19,19--Dec--12,2012,Unprovoked,AUSTRALIA,Western Australia,Trigg Beach,N,5588,-31.8773458,115.7515832504
3161,2012.12.02,02--Dec--12,2012,Unprovoked,AUSTRALIA,New South Wales,Green Island,N,5586,-30.91089715,153.0904314346
3162,2012.11.27,27--Nov--12,2012,Invalid,AUSTRALIA,Queensland,Mooloolaba,NULL,5583,-26.6791955,153.1137635
3197,2011.03.10,10--Mar--11,2011,Unprovoked,AUSTRALIA,New South Wales,"Tallow Beach, Byron Bay",N,5363,-28.6697473,153.6208087052
3198,2011.02.28.R,Reported 28--Feb--2011,2011,Provoked,AUSTRALIA,Queensland,Between ,N,5362,-27.4700395,153.0125195
3199,2011.02.17,17--Feb--11,2011,Unprovoked,AUSTRALIA,South Australia,Off Perforated Island near Coffin Bay,Y,5359,-34.7830806,138.48056865
3200,2011.02.13,13--Feb--11,2011,Provoked,AUSTRALIA,Queensland,Sunshine Beach,N,5358,-26.4051292,153.1117838
3201,2011.02.12,12--Feb--11,2011,Unprovoked,AUSTRALIA,Western Australia,Exmouth,N,5357,-21.9324401,114.1258094
3202,2011.01.20,20--Jan--11,2011,Invalid,AUSTRALIA,New South Wales,Cudgen Creek ,NULL,5351,-28.2938914,153.5680193
3203,2011.01.03,03--Jan--11,2011,Boat,AUSTRALIA,Western Australia,Busselton,N,5348,-33.644499,115.3488754
3204,2010.11.27,27--Nov--10,2010,Invalid,AUSTRALIA,Western Australia,Native Dog Beach,NULL,5337,-34.45329325,119.3613259034
3205,2010.11.12.R,Reported 12--Nov--2010,2010,Boat,AUSTRALIA,Western Australia,Between Carnac and Garden Islands,N,5333,-31.94967961,115.86193337
3206,2010.10.30,30--Oct--10,2010,Unprovoked,AUSTRALIA,Western Australia,Off Garden Island,N,5332,-31.94967961,115.86193337
3207,2010.10.28.R,Reported 28--Oct--2010,2010,Unprovoked,AUSTRALIA,Western Australia,Cheynes Beach,N,5331,-34.8801321,118.4000173957
3208,2010.10.23.a,23--Oct--10,2010,Unprovoked,AUSTRALIA,Western Australia,Wedge Island,N,5327,-30.8285606,115.1884470933
3209,2010.10.09,09--Oct--10,2010,Unprovoked,AUSTRALIA,New South Wales,Mullaway Headland,N,5324,-30.0769195,153.2046516
3210,2010.09.13, 13--Sep--2010,2010,Unprovoked,AUSTRALIA,New South Wales,Fraser's Reef,N,5317,-35.31376452,149.13642861
3211,2010.08.17,17--Aug--10,2010,Unprovoked,AUSTRALIA,Western Australia,Cowaramup Bay,Y,5308,-33.86084,114.98008
3212,2010.08.10.b,10--Aug--10,2010,Provoked,AUSTRALIA,Queensland,"Three Mile Creek, Townsville",N,5306,-19.2099821,146.7727087
3213,2010.08.08,08--Aug--10,2010,Unprovoked,AUSTRALIA,New South Wales,Crescent Head,N,5304,-31.21412885,152.9193912517
3214,2010.06.06,06--Jun--10,2010,Unprovoked,AUSTRALIA,Western Australia,"Conspicuous Beach, near Walpole",N,5281,-31.94967961,115.86193337
3215,2010.05.18.a,18--May--10,2010,Unprovoked,AUSTRALIA,New South Wales,Point Plomer,N,5276,-31.314908,152.9754159
3216,2010.02.13,13--Feb--10,2010,Unprovoked,AUSTRALIA,Queensland,"Dent Island, Whitsundays",N,5265,-20.346744,148.955814
3217,2010.02.11,11--Feb--10,2010,Unprovoked,AUSTRALIA,New South Wales,"Mona Vale Beach, Sydney",N,5264,-33.68283755,151.3116772837
3218,2010.02.06.b,06--Feb--10,2010,Unprovoked,AUSTRALIA,New South Wales,Turners' Beach,N,5262,-29.43007225,153.3628894171
3219,2010.01.27,27--Jan--10,2010,Unprovoked,AUSTRALIA,Queensland,Archie's Beach,N,5256,-28.02476688,153.42955084
3220,2010.01.22.a,22--Jan--10,2010,Unprovoked,AUSTRALIA,Victoria,Geelong,N,5254,-38.1492813,144.3598269
3221,2010.01.09.d,09--Jan--10,2010,Unprovoked,AUSTRALIA,Torres Strait,Thursday Island,N,5252,-10.58325428,142.21634123
3222,2009.12.26,26--Dec--09,2009,Provoked,AUSTRALIA,New South Wales,Avoca Beach,N,5245,-33.465,151.4344444
3223,2009.12.20.b,20--Dec--09,2009,Boating,AUSTRALIA,Queensland,Mudjimba Island,N,5243,-26.614522,153.1145348183
3224,2009.12.20.a,20--Dec--09,2009,Unprovoked,AUSTRALIA,Queensland,Lamont Reef,N,5242,-37.23169377,142.78745313
3225,2009.12.13,13--Dec--09,2009,Unprovoked,AUSTRALIA,New South Wales,Coffee Head,N,5238,-35.31376452,149.13642861
3226,2009.12.12,12--Dec--09,2009,Boating,AUSTRALIA,New South Wales,Hawks Nest Beach,N,5237,-28.15740315,153.48001418
3227,2009.11.08,08--Nov--09,2009,Unprovoked,AUSTRALIA,South Australia,Second Valley,N,5229,-35.5146849,138.2192418
3228,2009.10.30,30--Oct--09,2009,Boating,AUSTRALIA,Victoria,Portland,N,5227,-38.3456231,141.6042304
3229,2009.10.28,28--Oct--09,2009,Unprovoked,AUSTRALIA,New South Wales,Lennox Heads,N,5225,-35.31376452,149.13642861
